StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.9623661,None,native,sing,yellow,9,199,342.966773,None,None,342.966773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.4766441,None,corner,silent,red,81,69,345.4836221,None,None,345.4836221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.9931173,None,motion,sing,yellow,26,194,347.9993822,None,None,347.9993822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.509452,None,community,sing,yellow,20,63,350.5100186,None,None,350.5100186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.025109,None,sight,silent,red,84,286,353.0287033,None,None,353.0287033,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.5408641,None,guide,silent,red,88,147,355.5454955,None,None,355.5454955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0559322,None,under,silent,red,83,343,358.0609387,None,None,358.0609387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.5722453,None,fight,sing,yellow,1,127,360.5756137,None,None,360.5756137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0880039,None,benefit,aloud,blue,45,20,363.0936131,None,None,363.0936131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6026722,None,junior,silent,red,60,167,365.6102899,None,None,365.6102899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.1181287,None,science,sing,yellow,27,275,368.1289458,None,None,368.1289458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.6359321,None,signal,silent,red,86,287,370.6407009,None,None,370.6407009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.150786,None,goose,aloud,blue,41,138,373.1543989,None,None,373.1543989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.6659299,None,travel,sing,yellow,11,338,375.6721416,None,None,375.6721416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.1759053,None,direction,aloud,blue,31,94,378.189671,None,None,378.189671,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.6916941,None,light,silent,red,74,171,380.6824977,None,None,380.6824977,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.2131488,None,nation,silent,red,85,198,383.2003372,None,None,383.2003372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.7293557,None,income,sing,yellow,5,159,385.7338874,None,None,385.7338874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
85,0,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.2422386,None,little,sing,yellow,14,174,388.2506474,None,None,388.2506474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
86,0,86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.7579188,None,balance,sing,yellow,3,17,390.7594778,None,None,390.7594778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13a,1,2020_Feb_06_1601,ProdSingRedo,3.2.4,60.03723509
