StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,keyCondition.keys,keyCondition.rt,Condition,stim_colors,color_sing,color_aloud,color_silent,keyWelcome.keys,keyWelcome.rt,study_word,study_type,study_color,study_num,study_word_num,keyStudy.keys,key_resp_3.keys,key_resp_3.rt,testWord,testType,testColor,testN,test_num,test_word_num,keyConf.keys,keyConf.rt,keyRKN.keys,keyRKN.rt,date,frameRate,expName,session,participant,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,light,new_sing,yellow,3,105,171,1,2.54023770001,n,2.2177755,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,vision,aloud,red,4,45,347,6,3.2825185,r,1.1501133,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,stand,silent,blue,5,70,302,5,7.5952138,n,1.1980516,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,agreement,sing,yellow,6,17,5,4,3.551511,f,1.61396079999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,bright,new_sing,yellow,7,109,29,3,3.1935924,n,1.18876450001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,history,new_silent,blue,8,161,153,4,3.1950675,n,0.801709199994,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,group,new_silent,blue,9,168,143,4,1.9015141,n,0.484112999999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,working,aloud,red,10,32,357,6,3.9638487,f,1.2349479,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,military,silent,blue,11,89,190,4,2.38458069999,n,0.692053399995,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,suggestion,aloud,red,12,48,314,6,3.5462443,r,0.731213699997,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,drama,new_silent,blue,13,174,103,4,1.9294397,n,1.46790260001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,nature,sing,yellow,14,6,200,6,3.005982,r,1.963888,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,junior,sing,yellow,15,5,167,6,1.74382670001,r,0.980633400002,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,minor,new_sing,yellow,16,97,191,1,2.54512739999,n,2.4063489,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,estate,new_sing,yellow,17,92,119,1,4.1537796,n,0.551658299999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,report,new_silent,blue,18,179,259,4,1.62974259999,n,0.332404000001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,education,aloud,red,19,54,108,6,2.93083119999,r,1.19441690001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,sweet,sing,yellow,20,0,319,6,3.36403149999,r,1.20499489999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,figure,sing,yellow,21,3,128,6,2.1757558,r,0.612677499987,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,worker,silent,blue,22,82,356,4,1.6754139,n,0.396317300008,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,public,new_silent,blue,23,163,244,4,1.6153601,n,0.719028299995,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,atmosphere,silent,blue,24,81,12,4,1.256448,n,0.513284899993,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,century,sing,yellow,25,29,45,6,1.850595,r,0.514575199995,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,26,0,26,0,,,,,,,,,,,,,,,,,,detective,new_aloud,red,26,128,92,4,5.4246633,n,0.227486299991,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,27,0,27,0,,,,,,,,,,,,,,,,,,ground,new_sing,yellow,27,96,142,1,3.54681470001,n,1.0698177,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,28,0,28,0,,,,,,,,,,,,,,,,,,production,new_sing,yellow,28,94,240,1,4.34915749999,n,1.04476819999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,29,0,29,0,,,,,,,,,,,,,,,,,,comfort,sing,yellow,29,8,59,5,5.85971219999,f,1.73231410001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,30,0,30,0,,,,,,,,,,,,,,,,,,master,silent,blue,30,65,180,4,2.6269663,n,0.169372500008,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,31,0,31,0,,,,,,,,,,,,,,,,,,state,new_silent,blue,31,159,303,4,1.0845287,n,0.221428100005,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,32,0,32,0,,,,,,,,,,,,,,,,,,column,aloud,red,32,52,57,6,1.7675901,r,0.847286899996,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,33,0,33,0,,,,,,,,,,,,,,,,,,engineer,new_sing,yellow,33,98,114,1,5.03229429999,n,0.9463062,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,fellow,sing,yellow,34,15,126,6,2.95697319999,r,0.771214499997,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,season,sing,yellow,35,12,277,6,2.37409700001,r,0.568290800002,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,recall,new_aloud,red,36,132,255,6,5.4920592,f,1.0267825,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,store,new_aloud,red,37,121,305,1,1.8545568,n,0.773170200002,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,skill,sing,yellow,38,18,289,6,2.79600050001,r,0.8195997,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,express,silent,blue,39,88,124,4,2.3227008,n,1.14322350001,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,population,silent,blue,40,76,227,4,4.4863224,n,0.805990100009,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,conference,new_aloud,red,41,139,66,6,2.5074971,r,1.0266258,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,appeal,silent,blue,42,85,9,4,1.8276111,n,0.402763000006,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,growth,sing,yellow,43,21,144,4,3.4851171,f,0.546597299995,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,management,new_aloud,red,44,131,177,6,4.81651630001,f,0.459284199998,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,narrow,aloud,red,45,34,197,6,1.7120495,r,0.516043300013,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,plane,silent,blue,46,74,223,4,1.71652999999,n,0.532498,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,shape,silent,blue,47,63,282,4,1.74160040001,n,0.816461699986,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,suspect,new_silent,blue,48,151,318,4,1.36448420001,n,0.997623000003,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,individual,aloud,red,49,37,160,1,3.8714036,f,0.63161299999,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,broad,aloud,red,50,44,31,6,1.72869090001,r,0.599496399998,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,treatment,aloud,red,51,31,339,6,1.84361390001,r,0.440757200005,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,edition,new_sing,yellow,52,115,107,1,3.45155910001,n,0.554455000005,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,message,aloud,red,53,35,189,6,4.49739449999,r,0.680247899989,2019_Nov_23_1633,59.8345216477,ProdSingRedo,001,color7,
