StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.086041,None,career,sing,yellow,20,42,412.0864829,None,None,412.0864829,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.6039503,None,salary,silent,red,82,271,414.6077309,None,None,414.6077309,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.1207707,None,spoke,aloud,blue,56,300,417.1184454,None,None,417.1184454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.6379504,None,shape,silent,red,61,282,419.635138,None,None,419.635138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.1547567,None,trail,aloud,blue,37,336,422.1427517,None,None,422.1427517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.6717244,None,birth,silent,red,76,22,424.6688213,None,None,424.6688213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.1880983,None,platform,sing,yellow,22,224,427.1885463,None,None,427.1885463,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.7040797,None,running,silent,red,71,268,429.7048588,None,None,429.7048588,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.2222824,None,track,sing,yellow,14,334,432.2199897,None,None,432.2199897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.7387403,None,angle,silent,red,74,7,434.7339518,None,None,434.7339518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.2553875,None,education,sing,yellow,16,108,437.2562684,None,None,437.2562684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.7722302,None,motion,aloud,blue,46,194,439.765536,None,None,439.765536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.2892412,None,engineer,silent,red,85,114,442.2872817,None,None,442.2872817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.8063291,None,frank,sing,yellow,18,133,444.805342,None,None,444.805342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.3227298,None,article,sing,yellow,17,11,447.3193882,None,None,447.3193882,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.8395855,None,resistance,sing,yellow,24,262,449.8421083,None,None,449.8421083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.3565265,None,story,silent,red,65,306,452.3523743,None,None,452.3523743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.8732897,None,distance,silent,red,78,100,454.8708298,None,None,454.8708298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.3903098,None,under,aloud,blue,30,343,457.383735,None,None,457.383735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.9072018,None,expansion,silent,red,70,123,459.9042856,None,None,459.9042856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.4237137,None,religion,sing,yellow,25,258,462.422508,None,None,462.422508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.9406987,None,device,aloud,blue,32,93,464.9374101,None,None,464.9374101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.4575105,None,minor,aloud,blue,55,191,467.4501524,None,None,467.4501524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.9742914,None,reading,sing,yellow,7,254,469.9728793,None,None,469.9728793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.490351,None,generation,silent,red,68,136,472.4927591,None,None,472.4927591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.9918836,None,hunger,sing,yellow,23,155,474.9912324,None,None,474.9912324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.5082749,None,sleep,silent,red,81,290,477.5010948,None,None,477.5010948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.0249988,None,breath,silent,red,79,27,480.0255823,None,None,480.0255823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.541971,None,tough,silent,red,88,333,482.5394301,None,None,482.5394301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.0587105,None,material,sing,yellow,12,182,485.0594245,None,None,485.0594245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.5757449,None,store,aloud,blue,54,305,487.5664699,None,None,487.5664699,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0919812,None,pancakes,aloud,blue,51,210,490.0956076,None,None,490.0956076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.6091231,None,cross,silent,red,60,80,492.6029007,None,None,492.6029007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.1261632,None,drama,aloud,blue,58,103,495.1232053,None,None,495.1232053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.6428318,None,couch,sing,yellow,13,70,497.6427936,None,None,497.6427936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.1596328,None,beauty,sing,yellow,15,18,500.146369,None,None,500.146369,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.6764546,None,owner,sing,yellow,2,208,502.6741858,None,None,502.6741858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color13b,1,2021_Nov_11_1151,ProdSingRedo,3.2.3,59.98350448
