StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,2683.076586,None,,,,,,,,,,,,,,,,,piece,new_c,white,16,162,221,2677.708167,None,2677.708167,None,3,2.912724038,2677.708167,None,2680.662986,None,2681.176015,None,2681.176015,None,n,1.86094215,2681.176015,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,2688.494967,None,,,,,,,,,,,,,,,,,turkey,aloud,white,17,43,342,2683.595706,None,2683.595706,None,6,2.07316081,2683.595706,None,2685.717161,None,2686.227404,None,2686.227404,None,r,2.225307504,2686.227404,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,2695.113622,None,,,,,,,,,,,,,,,,,clean,new_c,white,18,157,51,2689.011604,None,2689.011604,None,4,3.304557428,2689.011604,None,2692.366644,None,2692.879594,None,2692.879594,None,f,2.188624779,2692.879594,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,2701.982388,None,,,,,,,,,,,,,,,,,weight,silent,white,19,65,353,2695.630403,None,2695.630403,None,6,2.637383724,2695.630403,None,2698.31483,None,2698.831374,None,2698.831374,None,r,3.11618114,2698.831374,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,2708.534389,None,,,,,,,,,,,,,,,,,express,new_b,white,20,122,124,2702.499212,None,2702.499212,None,3,3.440890275,2702.499212,None,2705.988044,None,2706.500425,None,2706.500425,None,f,1.998864531,2706.500425,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,2713.269179,None,,,,,,,,,,,,,,,,,health,aloud,white,21,41,149,2709.051073,None,2709.051073,None,6,2.144208359,2709.051073,None,2711.23995,None,2711.752035,None,2711.752035,None,r,1.475191655,2711.752035,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,2718.404079,None,,,,,,,,,,,,,,,,,running,silent,white,22,61,268,2713.785812,None,2713.785812,None,3,2.720862347,2713.785812,None,2716.553655,None,2717.070331,None,2717.070331,None,f,1.29260903,2717.070331,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,2723.222217,None,,,,,,,,,,,,,,,,,instrument,new_b,white,23,133,163,2718.920808,None,2718.920808,None,1,1.881643709,2718.920808,None,2720.842285,None,2721.354863,None,2721.354863,None,n,1.831474369,2721.354863,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,2728.590537,None,,,,,,,,,,,,,,,,,government,sing,white,24,15,139,2723.742655,None,2723.742655,None,6,2.171798931,2723.742655,None,2725.973005,None,2726.47302,None,2726.47302,None,r,2.073898819,2726.47302,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
,,,,25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,2732.841793,None,,,,,,,,,,,,,,,,,comedy,new_b,white,25,144,58,2729.09046,None,2729.09046,None,1,1.799330101,2729.09046,None,2730.930656,None,2731.441384,None,2731.441384,None,n,1.352371859,2731.441384,None,,,NC3a,1,2019_Dec_02_1656,ProdSingRedo,3.2.4,59.88876824
