StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,138,0,138,0,,,,,,,,,,,,,,,,,,,,,,,,1678.371147699887,None,,,,,,,,,,,,,,,,,,territory,new_b,white,138,121,324,1676.5089324000292,None,1676.5089324000292,None,1,1.0716345999389887,1676.5089324000292,None,1677.6310779000632,None,1678.153608799912,None,1678.153608799912,None,n,0.17901120008900762,1678.153608799912,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,139,0,139,0,,,,,,,,,,,,,,,,,,,,,,,,1682.7823155000806,None,,,,,,,,,,,,,,,,,,column,new_c,white,139,179,57,1678.8935263000894,None,1678.8935263000894,None,1,2.871050599962473,1678.8935263000894,None,1681.8093469000887,None,1682.336140600033,None,1682.336140600033,None,n,0.42030279990285635,1682.336140600033,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,140,0,140,0,,,,,,,,,,,,,,,,,,,,,,,,1686.0832132000942,None,,,,,,,,,,,,,,,,,,equipment,new_b,white,140,131,116,1683.2932825000025,None,1683.2932825000025,None,6,1.5510841999202967,1683.2932825000025,None,1684.8985128998756,None,1685.4223064000253,None,1685.4223064000253,None,f,0.6304558999836445,1685.4223064000253,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,141,0,141,0,,,,,,,,,,,,,,,,,,,,,,,,1689.901419099886,None,,,,,,,,,,,,,,,,,,contract,new_b,white,141,123,68,1686.6103260000236,None,1686.6103260000236,None,4,2.426116099813953,1686.6103260000236,None,1689.0874008999672,None,1689.6013211000245,None,1689.6013211000245,None,f,0.267188600031659,1689.6013211000245,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,,,1694.4002264998853,None,,,,,,,,,,,,,,,,,,colonel,new_a,white,142,111,55,1690.4218309998978,None,1690.4218309998978,None,1,3.190728100016713,1690.4218309998978,None,1693.6591906999238,None,1694.1689637000673,None,1694.1689637000673,None,n,0.20382509985938668,1694.1689637000673,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,,,1697.9673110998701,None,,,,,,,,,,,,,,,,,,partner,aloud,white,143,37,211,1694.9258087000344,None,1694.9258087000344,None,5,1.806556899799034,1694.9258087000344,None,1696.7774084999692,None,1697.3022656000685,None,1697.3022656000685,None,f,0.6384785999543965,1697.3022656000685,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,,,1701.0266769998707,None,,,,,,,,,,,,,,,,,,power,aloud,white,144,47,230,1698.4947561998852,None,1698.4947561998852,None,2,1.4139425000175834,1698.4947561998852,None,1699.9497706999537,None,1700.4703452999238,None,1700.4703452999238,None,n,0.5258786000777036,1700.4703452999238,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,,,1703.67606540001,None,,,,,,,,,,,,,,,,,,poetry,sing,white,145,18,225,1701.546823499957,None,1701.546823499957,None,6,1.3137028000783175,1701.546823499957,None,1702.8956722998992,None,1703.4127966999076,None,1703.4127966999076,None,f,0.23130119987763464,1703.4127966999076,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,,,1707.6505376999266,None,,,,,,,,,,,,,,,,,,strength,silent,white,146,88,310,1704.1946791000664,None,1704.1946791000664,None,3,1.2337395998183638,1704.1946791000664,None,1705.4773907999042,None,1706.0046508000232,None,1706.0046508000232,None,f,1.607821999816224,1706.0046508000232,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,,,1714.3350865000393,None,,,,,,,,,,,,,,,,,,light,aloud,white,147,33,171,1708.1743028999772,None,1708.1743028999772,None,3,4.446164100198075,1708.1743028999772,None,1712.6669858999085,None,1713.1844631000422,None,1713.1844631000422,None,f,1.1241019000299275,1713.1844631000422,None,,,NC_56,001,2022_May_05_1249,ProdSingRedo,3.2.3,59.98318069978884,
