StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,142,0,142,0,,,,,,,,,,,,,,,,,,,,,,,,2158.586044,None,,,,,,,,,,,,,,,,,territory,silent,white,142,68,324,2156.234708,None,2156.234708,None,5,1.665273,2156.234708,None,2157.939398,None,2158.458103,None,2158.458103,None,f,0.0978472,2158.458103,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,143,0,143,0,,,,,,,,,,,,,,,,,,,,,,,,2161.598749,None,,,,,,,,,,,,,,,,,master,new_b,white,143,135,180,2159.116671,None,2159.116671,None,4,1.7594364,2159.116671,None,2160.917107,None,2161.444977,None,2161.444977,None,f,0.1350144,2161.444977,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,144,0,144,0,,,,,,,,,,,,,,,,,,,,,,,,2163.840732,None,,,,,,,,,,,,,,,,,principal,new_b,white,144,133,236,2162.116781,None,2162.116781,None,4,1.0793659,2162.116781,None,2163.21616,None,2163.738567,None,2163.738567,None,f,0.0737315,2163.738567,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,,,2166.463849,None,,,,,,,,,,,,,,,,,fellow,aloud,white,145,31,126,2164.363196,None,2164.363196,None,1,1.3209383,2164.363196,None,2165.738849,None,2166.263084,None,2166.263084,None,f,0.164894,2166.263084,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,,,2168.740464,None,,,,,,,,,,,,,,,,,short,sing,white,146,6,285,2166.979138,None,2166.979138,None,1,0.9852142,2166.979138,None,2168.009181,None,2168.523478,None,2168.523478,None,f,0.1847762,2168.523478,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,,,2171.517135,None,,,,,,,,,,,,,,,,,instrument,sing,white,147,23,163,2169.268198,None,2169.268198,None,6,1.3358078,2169.268198,None,2170.661762,None,2171.168598,None,2171.168598,None,f,0.3151708,2171.168598,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,148,0,148,0,,,,,,,,,,,,,,,,,,,,,,,,2174.316525,None,,,,,,,,,,,,,,,,,notice,new_a,white,148,90,201,2172.043866,None,2172.043866,None,5,1.4962677,2172.043866,None,2173.58025,None,2174.091538,None,2174.091538,None,f,0.2002834,2174.091538,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,149,0,149,0,,,,,,,,,,,,,,,,,,,,,,,,2178.173948,None,,,,,,,,,,,,,,,,,spoke,new_a,white,149,118,300,2174.834862,None,2174.834862,None,3,1.0011922,2174.834862,None,2175.889213,None,2176.416232,None,2176.416232,None,r,1.731889,2176.416232,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,150,0,150,0,,,,,,,,,,,,,,,,,,,,,,,,2181.659893,None,,,,,,,,,,,,,,,,,route,new_b,white,150,132,267,2178.702551,None,2178.702551,None,6,1.3413618,2178.702551,None,2180.075309,None,2180.583585,None,2180.583585,None,r,1.0444946,2180.583585,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,,,,,,,2184.639972,None,,,,,,,,,,,,,,,,,volume,new_c,white,151,161,349,2182.189497,None,2182.189497,None,4,1.3271296,2182.189497,None,2183.559163,None,2184.079368,None,2184.079368,None,r,0.5324726,2184.079368,None,,,NC14b,1,2021_Nov_11_1113,ProdSingRedo,3.2.3,59.72263601
