StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,textScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,139,0,139,0,,,,,,,,,,,,,1692.5356537289335,None,,,,,,,,,,,,,,,,,,,,,,citizen,A_silent,139,50,1689.506271692473,None,1689.506271692473,None,1689.506271692473,None,6,1.9823620700335596,1689.506271692473,None,1691.55194594762,None,1691.55194594762,None,1692.07118772158,None,1692.07118772158,None,1692.07118772158,None,r,0.41736611307715066,1692.07118772158,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,140,0,140,0,,,,,,,,,,,,,1697.4206238726038,None,,,,,,,,,,,,,,,,,,,,,,music,A_silent,140,196,1693.0523919263505,None,1693.0523919263505,None,1693.0523919263505,None,6,3.1480403682217,1693.0523919263505,None,1696.2538819431502,None,1696.2538819431502,None,1696.7702976301516,None,1696.7702976301516,None,1696.7702976301516,None,r,0.6068905890424503,1696.7702976301516,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,141,0,141,0,,,,,,,,,,,,,1700.6381974248943,None,,,,,,,,,,,,,,,,,,,,,,character,A_silent,141,46,1697.9378089817765,None,1697.9378089817765,None,1697.9378089817765,None,4,1.6145708154508611,1697.9378089817765,None,1699.6045583753148,None,1699.6045583753148,None,1700.121490016798,None,1700.121490016798,None,1700.121490016798,None,f,0.47869751819234807,1700.121490016798,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,142,0,142,0,,,,,,,,,,,,,1705.0228385270893,None,,,,,,,,,,,,,,,,,,,,,,treatment,B_aloud,142,339,1701.154922249174,None,1701.154922249174,None,1701.154922249174,None,3,1.8370547987724422,1701.154922249174,None,1703.0447723455873,None,1703.0447723455873,None,1703.572580083346,None,1703.572580083346,None,1703.572580083346,None,f,1.4117413074563956,1703.572580083346,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,143,0,143,0,,,,,,,,,,,,,1711.2749057659967,None,,,,,,,,,,,,,,,,,,,,,,problem,B_aloud,143,238,1705.5400174161769,None,1705.5400174161769,None,1705.5400174161769,None,5,3.1317836039088434,1705.5400174161769,None,1708.7138542638568,None,1708.7138542638568,None,1709.2409921005165,None,1709.2409921005165,None,1709.2409921005165,None,f,1.9987096473196289,1709.2409921005165,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,144,0,144,0,,,,,,,,,,,,,1715.6762906636723,None,,,,,,,,,,,,,,,,,,,,,,management,A_silent,144,177,1711.7929458232247,None,1711.7929458232247,None,1711.7929458232247,None,4,2.9666946569632273,1711.7929458232247,None,1714.809295888539,None,1714.809295888539,None,1715.3260919325694,None,1715.3260919325694,None,1715.3260919325694,None,r,0.3055333706579404,1715.3260919325694,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,145,0,145,0,,,,,,,,,,,,,1718.5271434347233,None,,,,,,,,,,,,,,,,,,,,,,bureau,B_aloud,145,37,1716.1941976114904,None,1716.1941976114904,None,1716.1941976114904,None,6,1.5093702183221467,1716.1941976114904,None,1717.7472326926654,None,1717.7472326926654,None,1718.2769767369464,None,1718.2769767369464,None,1718.2769767369464,None,r,0.21049573925847653,1718.2769767369464,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,146,0,146,0,,,,,,,,,,,,,1722.4950774398167,None,,,,,,,,,,,,,,,,,,,,,,turkey,A_silent,146,342,1719.0439873732685,None,1719.0439873732685,None,1719.0439873732685,None,6,2.731047459092224,1719.0439873732685,None,1721.8281190520647,None,1721.8281190520647,None,1722.3450749517942,None,1722.3450749517942,None,1722.3450749517942,None,r,0.1102488026372157,1722.3450749517942,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,147,0,147,0,,,,,,,,,,,,,1727.046481308702,None,,,,,,,,,,,,,,,,,,,,,,escape,D_new,147,118,1723.0122858742252,None,1723.0122858742252,None,1723.0122858742252,None,6,2.570373825961724,1723.0122858742252,None,1725.6347602164606,None,1725.6347602164606,None,1726.1628198668914,None,1726.1628198668914,None,1726.1628198668914,None,r,0.8357731541909743,1726.1628198668914,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
,,,,148,0,148,0,,,,,,,,,,,,,1730.6310207128117,None,,,,,,,,,,,,,,,,,,,,,,break,D_new,148,26,1727.5634403184667,None,1727.5634403184667,None,1727.5634403184667,None,5,1.954966411634814,1727.5634403184667,None,1729.5673779312056,None,1729.5673779312056,None,1730.0973082664714,None,1730.0973082664714,None,1730.0973082664714,None,r,0.4932167071092408,1730.0973082664714,None,sing12,001,2019_Oct_31_1257,ProdFawcett_Revision2019,3.2.4,60.176858654332804,
