StudyTrials.thisRepN,StudyTrials.thisTrialN,StudyTrials.thisN,StudyTrials.thisIndex,TestTrials.thisRepN,TestTrials.thisTrialN,TestTrials.thisN,TestTrials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textReady.started,textReady.stopped,keyReady.keys,keyReady.rt,keyReady.started,keyReady.stopped,polyback_2.started,polyback_2.stopped,studyPic,studyWord,studyType,studyN,studyOrder,polyback_3.started,polyback_3.stopped,studyPicChoice.started,studyPicChoice.stopped,polyback_4.started,polyback_4.stopped,polyback.started,polyback.stopped,studyWords.started,studyWords.stopped,getResearcher.started,getResearcher.stopped,kPress2.keys,kPress2.rt,kPress2.started,kPress2.stopped,testWord,testType,testN,testOrder,polyback_5.started,polyback_5.stopped,testWords.started,testWords.stopped,textScale.started,participant,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,polyback_6.started,polyback_6.stopped,studyWords_2.started,studyWords_2.stopped,polyback_7.started,polyback_7.stopped,testWords_2.started,testWords_2.stopped,textScale_2.started,textScale_2.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,,session,date,expName,psychopyVersion,frameRate
,,,,141,0,141,0,,,,,,,,,,,,,917.48136,None,,,,,,,,,,,,,,,,,,,,,,stranger,B_aloud,141,309,914.4637124,None,914.4637124,None,914.4637124,sing17a,1,1.988487591,914.4637124,None,916.5144467,None,916.5144467,None,917.0312425,None,917.0312425,None,917.0312425,None,n,0.404905766,917.0312425,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,142,0,142,0,,,,,,,,,,,,,920.3722025,None,,,,,,,,,,,,,,,,,,,,,,religion,D_new,142,258,917.9983884,None,917.9983884,None,917.9983884,sing17a,3,1.677980656,917.9983884,None,919.7077592,None,919.7077592,None,920.2180513,None,920.2180513,None,920.2180513,None,f,0.130326864,920.2180513,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,143,0,143,0,,,,,,,,,,,,,923.3165466,None,,,,,,,,,,,,,,,,,,,,,,council,A_silent,143,71,920.8989211,None,920.8989211,None,920.8989211,sing17a,6,1.385011196,920.8989211,None,922.3495845,None,922.3495845,None,922.8663725,None,922.8663725,None,922.8663725,None,r,0.409780121,922.8663725,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,144,0,144,0,,,,,,,,,,,,,926.2507648,None,,,,,,,,,,,,,,,,,,,,,,individual,B_aloud,144,160,923.8358643,None,923.8358643,None,923.8358643,sing17a,6,1.632022454,923.8358643,None,925.5170806,None,925.5170806,None,926.033927,None,926.033927,None,926.033927,None,r,0.178191516,926.033927,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,145,0,145,0,,,,,,,,,,,,,928.8032463,None,,,,,,,,,,,,,,,,,,,,,,capital,C_sing,145,40,926.767562,None,926.767562,None,926.767562,sing17a,6,1.348134291,926.767562,None,928.1679464,None,928.1679464,None,928.6717705,None,928.6717705,None,928.6717705,None,r,0.099874666,928.6717705,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,146,0,146,0,,,,,,,,,,,,,931.235603,None,,,,,,,,,,,,,,,,,,,,,,speech,D_new,146,298,929.3212285,None,929.3212285,None,929.3212285,sing17a,2,1.106442122,929.3212285,None,930.4724939,None,930.4724939,None,930.9854503,None,930.9854503,None,930.9854503,None,f,0.210191267,930.9854503,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,147,0,147,0,,,,,,,,,,,,,935.3702588,None,,,,,,,,,,,,,,,,,,,,,,graduate,D_new,147,141,931.7538785,None,931.7538785,None,931.7538785,sing17a,6,2.113517447,931.7538785,None,933.9198342,None,933.9198342,None,934.4366738,None,934.4366738,None,934.4366738,None,r,0.894881197,934.4366738,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,148,0,148,0,,,,,,,,,,,,,938.0377549,None,,,,,,,,,,,,,,,,,,,,,,story,D_new,148,306,935.8780634,None,935.8780634,None,935.8780634,sing17a,1,1.005045095,935.8780634,None,936.9255797,None,936.9255797,None,937.4540334,None,937.4540334,None,937.4540334,None,n,0.549576102,937.4540334,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,149,0,149,0,,,,,,,,,,,,,940.3383427,None,,,,,,,,,,,,,,,,,,,,,,sound,D_new,149,295,938.5549655,None,938.5549655,None,938.5549655,sing17a,1,1.072389749,938.5549655,None,939.6882064,None,939.6882064,None,940.2051188,None,940.2051188,None,940.2051188,None,n,0.085695403,940.2051188,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,150,0,150,0,,,,,,,,,,,,,942.8726078,None,,,,,,,,,,,,,,,,,,,,,,mayor,D_new,150,183,940.8559243,None,940.8559243,None,940.8559243,sing17a,1,1.29163992,940.8559243,None,942.2057337,None,942.2057337,None,942.7225493,None,942.7225493,None,942.7225493,None,n,0.104111153,942.7225493,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,151,0,151,0,,,,,,,,,,,,,947.1906102,None,,,,,,,,,,,,,,,,,,,,,,collection,C_sing,151,54,943.3918822,None,943.3918822,None,943.3918822,sing17a,1,1.94724109,943.3918822,None,945.3903797,None,945.3903797,None,945.9070346,None,945.9070346,None,945.9070346,None,n,1.240234185,945.9070346,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
,,,,152,0,152,0,,,,,,,,,,,,,950.1915242,None,,,,,,,,,,,,,,,,,,,,,,length,D_new,152,169,947.7088785,None,947.7088785,None,947.7088785,sing17a,4,1.837448218,947.7088785,None,949.607878,None,949.607878,None,950.1248,None,950.1248,None,950.1248,None,f,0.021447409,950.1248,None,,1,2019_Nov_01_1429,ProdFawcett_Revision2019,3.2.4,59.98679148
