StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,145,0,145,0,,,,,,,,,,,,,,,,,,,,,,781.6165946,None,,,,,,,,,,,,,,,,,,threat,117,146,sing,new,null,780.0686948,None,780.0686948,None,1,0.7953036,780.0686948,None,0.7953036,780.8953232,None,781.403044,None,781.403044,None,n,0.189157,781.403044,None,0.189157,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,146,0,146,0,,,,,,,,,,,,,,,,,,,,,,784.1652712,None,,,,,,,,,,,,,,,,,,alert,36,147,sing,old,blue,782.144652,None,782.144652,None,4,1.1913255,782.144652,None,1.1913255,783.3642322,None,783.869315,None,783.869315,None,f,0.2746456,783.869315,None,0.2746456,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,147,0,147,0,,,,,,,,,,,,,,,,,,,,,,786.6516008,None,,,,,,,,,,,,,,,,,,treatment,82,148,sing,old,red,784.6761395,None,784.6761395,None,6,0.9076827,784.6761395,None,0.9076827,785.6014016,None,786.1006931,None,786.1006931,None,f,0.5232919,786.1006931,None,0.5232919,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,148,0,148,0,,,,,,,,,,,,,,,,,,,,,,789.9544109,None,,,,,,,,,,,,,,,,,,payment,176,149,sing,new,null,787.1543754,None,787.1543754,None,3,2.0695922,787.1543754,None,2.0695922,789.2563664,None,789.7735123,None,789.7735123,None,f,0.1624875,789.7735123,None,0.1624875,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,149,0,149,0,,,,,,,,,,,,,,,,,,,,,,792.3249753,None,,,,,,,,,,,,,,,,,,instrument,51,150,sing,old,blue,790.4652328,None,790.4652328,None,6,1.2067177,790.4652328,None,1.2067177,791.6900397,None,792.191784,None,792.191784,None,r,0.1042152,792.191784,None,0.1042152,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,150,0,150,0,,,,,,,,,,,,,,,,,,,,,,794.6924925,None,,,,,,,,,,,,,,,,,,space,29,151,sing,old,blue,792.8400229,None,792.8400229,None,6,1.279946,792.8400229,None,1.279946,794.1438302,None,794.6605503,None,794.6605503,None,r,0.0115068,794.6605503,None,0.0115068,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,151,0,151,0,,,,,,,,,,,,,,,,,,,,,,797.6468575,None,,,,,,,,,,,,,,,,,,partner,96,152,sing,new,null,795.1973323,None,795.1973323,None,4,1.7386614,795.1973323,None,1.7386614,796.9643767,None,797.4809399,None,797.4809399,None,f,0.1350719,797.4809399,None,0.1350719,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,152,0,152,0,,,,,,,,,,,,,,,,,,,,,,800.0506393,None,,,,,,,,,,,,,,,,,,trial,1,153,sing,old,yellow,798.1474694,None,798.1474694,None,6,1.0445062,798.1474694,None,1.0445062,799.2164885,None,799.7309274,None,799.7309274,None,r,0.3011321,799.7309274,None,0.3011321,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,153,0,153,0,,,,,,,,,,,,,,,,,,,,,,802.2832284,None,,,,,,,,,,,,,,,,,,equipment,55,154,sing,old,blue,800.5673775,None,800.5673775,None,6,0.9286335,800.5673775,None,0.9286335,801.5239807,None,802.0337954,None,802.0337954,None,r,0.2220878,802.0337954,None,0.2220878,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
,,,,154,0,154,0,,,,,,,,,,,,,,,,,,,,,,804.8860194,None,,,,,,,,,,,,,,,,,,department,151,155,sing,new,null,802.7935904,None,802.7935904,None,1,1.3903657,802.7935904,None,1.3903657,804.2039467,None,804.7192552,None,804.7192552,None,n,0.1367844,804.7192552,None,0.1367844,,,Sep16Sing1,42,2022_Sep_16_1446,ProdSingRedoBetween,2021.2.3,59.87403703
