StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,keyStudy.rt,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,1057.756833299998,None,,,,,,,,,,,,,,,,,,match,159,51,aloud,new,null,1052.9242304,None,1052.9242304,None,2,4.013191599999118,1052.9242304,None,4.013191599999118,1056.9599837999995,None,1057.4765602000007,None,1057.4765602000007,None,n,0.2608397000003606,1057.4765602000007,None,0.2608397000003606,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,51,0,51,0,,,,,,,,,,,,,,,,,,,,,,1063.8943550000004,None,,,,,,,,,,,,,,,,,,broke,35,52,aloud,old,blue,1058.2768582999997,None,1058.2768582999997,None,6,4.956433999999717,1058.2768582999997,None,4.956433999999717,1063.2661743999997,None,1063.7859236999975,None,1063.7859236999975,None,r,0.07952490000025136,1063.7859236999975,None,0.07952490000025136,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,52,0,52,0,,,,,,,,,,,,,,,,,,,,,,1067.331343599999,None,,,,,,,,,,,,,,,,,,resistance,116,53,aloud,new,null,1064.4045674000008,None,1064.4045674000008,None,3,2.236761899999692,1064.4045674000008,None,2.236761899999692,1066.6721350999978,None,1067.1874323999982,None,1067.1874323999982,None,f,0.12580950000119628,1067.1874323999982,None,0.12580950000119628,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,53,0,53,0,,,,,,,,,,,,,,,,,,,,,,1071.743239899999,None,,,,,,,,,,,,,,,,,,question,31,54,aloud,old,blue,1067.8397264999985,None,1067.8397264999985,None,2,2.9777575000007346,1067.8397264999985,None,2.9777575000007346,1070.8496971999994,None,1071.3572686999978,None,1071.3572686999978,None,n,0.34815339999840944,1071.3572686999978,None,0.34815339999840944,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,54,0,54,0,,,,,,,,,,,,,,,,,,,,,,1074.721925599999,None,,,,,,,,,,,,,,,,,,industry,131,55,aloud,new,null,1072.262542299999,None,1072.262542299999,None,3,1.6988968000005116,1072.262542299999,None,1.6988968000005116,1074.0003431999976,None,1074.5068366999985,None,1074.5068366999985,None,f,0.19842419999986305,1074.5068366999985,None,0.19842419999986305,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,55,0,55,0,,,,,,,,,,,,,,,,,,,,,,1083.6840335999987,None,,,,,,,,,,,,,,,,,,growth,41,56,aloud,old,blue,1075.2321508999994,None,1075.2321508999994,None,5,6.809281699999701,1075.2321508999994,None,6.809281699999701,1082.0728820000004,None,1082.5823117,None,1082.5823117,None,f,1.0748410999985936,1082.5823117,None,1.0748410999985936,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,56,0,56,0,,,,,,,,,,,,,,,,,,,,,,1087.5197386,None,,,,,,,,,,,,,,,,,,primary,39,57,aloud,old,blue,1084.2068555999977,None,1084.2068555999977,None,4,2.674512199999299,1084.2068555999977,None,2.674512199999299,1086.9087884,None,1087.4181382999996,None,1087.4181382999996,None,f,0.07933760000014445,1087.4181382999996,None,0.07933760000014445,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,57,0,57,0,,,,,,,,,,,,,,,,,,,,,,1092.156382199999,None,,,,,,,,,,,,,,,,,,youth,154,58,aloud,new,null,1088.0394319000006,None,1088.0394319000006,None,3,3.4899466000024404,1088.0394319000006,None,3.4899466000024404,1091.561733399998,None,1092.0728796000003,None,1092.0728796000003,None,f,0.06450789999871631,1092.0728796000003,None,0.06450789999871631,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,58,0,58,0,,,,,,,,,,,,,,,,,,,,,,1097.3778435999993,None,,,,,,,,,,,,,,,,,,general,86,59,aloud,old,red,1092.6617895999989,None,1092.6617895999989,None,2,3.9475564999993367,1092.6617895999989,None,3.9475564999993367,1096.6324638000006,None,1097.151721899998,None,1097.151721899998,None,n,0.20963269999992917,1097.151721899998,None,0.20963269999992917,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
,,,,59,0,59,0,,,,,,,,,,,,,,,,,,,,,,1100.4320845000002,None,,,,,,,,,,,,,,,,,,little,89,60,aloud,old,red,1097.8900704999978,None,1097.8900704999978,None,6,1.695241999997961,1097.8900704999978,None,1.695241999997961,1099.6149549000002,None,1100.1274613999994,None,1100.1274613999994,None,r,0.2738935000015772,1100.1274613999994,None,0.2738935000015772,,,122,001,2022_Dec_01_1732,ProdSingRedoBetween,2021.2.3,59.94043119902105,
