StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,427.6849072999903,None,contract,70,59,aloud,red,425.68535580000025,None,None,,425.68535580000025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,430.1872954999999,None,straight,6,60,aloud,yellow,428.18720159999793,None,None,,428.18720159999793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,432.68953099999635,None,sunset,2,61,aloud,yellow,430.6899080000003,None,None,,430.6899080000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,435.20877869999094,None,piece,43,62,aloud,blue,433.19434000000183,None,None,,433.19434000000183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,437.71122179999657,None,estate,0,63,aloud,yellow,435.70962619999773,None,None,,435.70962619999773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,440.2306532999937,None,property,22,64,aloud,yellow,438.2320916000026,None,None,,438.2320916000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,442.73326009999437,None,science,89,65,aloud,red,440.7313725999993,None,None,,440.7313725999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,445.2355925000011,None,commercial,17,66,aloud,yellow,443.23608349999995,None,None,,443.23608349999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,447.7545941999997,None,passage,83,67,aloud,red,445.7402791999921,None,None,,445.7402791999921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,450.25720100000035,None,machinery,16,68,aloud,yellow,448.25731200000155,None,None,,448.25731200000155,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126Aloud,001,2023_Sep_19_0958,ProdSingRedoBetween,2021.2.3,59.97059042279817,
