StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.rt,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,2315.114339,None,,,,,,,,,,,,,,,,,,concern,20,42,silent,old,yellow,2311.538117,None,2311.538117,None,1,1.5934347,2311.538117,None,1.5934347,2313.164214,None,2313.667413,None,2313.667413,None,n,1.4240728,2313.667413,None,1.4240728,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,2320.353197,None,,,,,,,,,,,,,,,,,,degree,23,43,silent,old,yellow,2315.623746,None,2315.623746,None,6,3.8997824,2315.623746,None,3.8997824,2319.552378,None,2320.053641,None,2320.053641,None,r,0.2698718,2320.053641,None,0.2698718,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,2323.623122,None,,,,,,,,,,,,,,,,,,oxygen,78,44,silent,old,red,2320.860642,None,2320.860642,None,6,2.0148934,2320.860642,None,2.0148934,2322.907449,None,2323.422959,None,2323.422959,None,r,0.1805588,2323.422959,None,0.1805588,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,2328.14429,None,,,,,,,,,,,,,,,,,,curve,178,45,silent,new,null,2324.132614,None,2324.132614,None,2,2.5588762,2324.132614,None,2.5588762,2326.71082,None,2327.210377,None,2327.210377,None,n,0.913129,2327.210377,None,0.913129,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,2330.71356,None,,,,,,,,,,,,,,,,,,mayor,76,46,silent,old,red,2328.649402,None,2328.649402,None,1,1.3140825,2328.649402,None,1.3140825,2329.9877,None,2330.496701,None,2330.496701,None,n,0.186832,2330.496701,None,0.186832,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,2335.701786,None,,,,,,,,,,,,,,,,,,force,69,47,silent,old,red,2331.217874,None,2331.217874,None,6,2.7856311,2331.217874,None,2.7856311,2334.036087,None,2334.550647,None,2334.550647,None,r,1.1248493,2334.550647,None,1.1248493,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,2339.642079,None,,,,,,,,,,,,,,,,,,height,43,48,silent,old,blue,2336.217187,None,2336.217187,None,3,2.1384389,2336.217187,None,2.1384389,2338.377093,None,2338.888311,None,2338.888311,None,f,0.7312241,2338.888311,None,0.7312241,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,48,0,48,0,,,,,,,,,,,,,,,,,,,,,,2345.578284,None,,,,,,,,,,,,,,,,,,piece,164,49,silent,new,null,2340.15749,None,2340.15749,None,2,2.917963,2340.15749,None,2.917963,2343.09383,None,2343.596221,None,2343.596221,None,f,1.9512146,2343.596221,None,1.9512146,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,49,0,49,0,,,,,,,,,,,,,,,,,,,,,,2349.048438,None,,,,,,,,,,,,,,,,,,prime,161,50,silent,new,null,2346.091926,None,2346.091926,None,2,1.8874934,2346.091926,None,1.8874934,2347.998653,None,2348.509242,None,2348.509242,None,f,0.5101965,2348.509242,None,0.5101965,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
,,,,50,0,50,0,,,,,,,,,,,,,,,,,,,,,,2352.118184,None,,,,,,,,,,,,,,,,,,management,97,51,silent,new,null,2349.55528,None,2349.55528,None,1,1.7921959,2349.55528,None,1.7921959,2351.369169,None,2351.884687,None,2351.884687,None,n,0.2147564,2351.884687,None,0.2147564,,,Oct28Silent1,67,2022_Oct_28_1457,ProdSingRedoBetween,2021.2.3,59.97835975
